,月份,股票代码,股票名称
0,2005-06,600000,浦发银行
0,2005-06,600009,上海机场
0,2005-06,600010,包钢股份
0,2005-06,600015,华夏银行
0,2005-06,600016,民生银行
0,2005-06,600019,宝钢股份
0,2005-06,600028,中国石化
0,2005-06,600029,南方航空
0,2005-06,600030,中信证券
0,2005-06,600031,三一重工
0,2005-06,600036,招商银行
0,2005-06,600050,中国联通
0,2005-06,600085,同仁堂
0,2005-06,600104,上汽集团
0,2005-06,600196,复星医药
0,2005-06,600309,万华化学
0,2005-06,600362,江西铜业
0,2005-06,600519,贵州茅台
0,2005-06,600585,海螺水泥
0,2005-06,600660,福耀玻璃
0,2005-06,600690,海尔智家
0,2005-06,600741,华域汽车
0,2005-06,600795,国电电力
0,2005-06,600900,长江电力
0,2005-07,600177,雅戈尔
