,开始日期_BegDt,结束日期_EndDt,成分股代码_CompoStkCd,成分股名称_CompoStkNm
321,2018-12,2019-12,"000408, 000553, 300296","藏格控股, 安道麦, 利亚德"
322,2018-12,2020-06,600566,济川药业
323,2018-12,2021-06,"002422, 600004, 600027, 600998, 603156","科伦药业, 白云机场, 华电国际, 九州通, 养元饮品"
324,2018-12,2021-12,002773,康弘药业
325,2019-06,2020-06,"000629, 002010, 600663, 600733","攀钢钒钛, 传化智联, 陆家嘴, 北汽蓝谷"
326,2019-06,2020-12,601298,青岛港
327,2019-06,2021-06,601577,长沙银行
328,2019-06,2021-12,"000656, 002739, 002939, 002945, 600299","金科股份, 万达电影, 长城证券, 华林证券, 安迪苏"
329,2019-12,2020-12,"600928, 600968","西安银行, 海油发展"
330,2019-12,2021-06,"000723, 002958","美锦能源, 青农商行"
331,2020-06,2021-12,"000860, 002463, 601077","顺鑫农业, 沪电股份, 渝农商行"
332,2020-12,2021-12,"002384, 601872","东山精密, 招商轮船"
333,2021-06,2021-12,600521,华海药业
