,month_details,stock,stock_name,month
487,2005-05,000733,振华科技,86
488,2005-05,000806,银河生物,86
489,2005-05,000920,沃顿科技,86
490,2005-05,000959,首钢股份,86
491,2005-05,000968,蓝焰控股,86
492,2005-05,600057,厦门象屿,86
493,2005-05,600091,明天科技,86
494,2005-05,600115,中国东航,86
495,2005-05,600126,杭钢股份,86
496,2005-05,600138,中青旅,86
497,2005-05,600166,福田汽车,86
498,2005-05,600207,安彩高科,86
499,2005-05,600215,长春经开,86
500,2005-05,600408,安泰集团,86
501,2005-05,600581,八一钢铁,86
502,2005-05,600621,华鑫股份,86
503,2005-05,600652,游久游戏,86
504,2005-05,600654,中安科,86
505,2005-05,600674,川投能源,86
506,2005-05,600854,春兰股份,86
507,2005-05,990018,上港集箱,86
508,2005-05,000780,平庄能源,86
509,2005-05,000016,康佳集团,86
510,2005-05,000429,粤高速,86
511,2005-05,000507,珠海港,86
512,2005-05,000511,烯碳新材,86
513,2005-05,000533,顺钠股份,86
514,2005-05,000543,皖能电力,86
515,2005-05,000571,大洲控股,86
516,2005-05,000573,粤宏远,86
517,2005-05,000666,经纬纺机,86
518,2005-05,000727,冠捷科技,86
519,2005-05,000735,罗牛山,86
520,2005-05,000737,南风化工,86
521,2005-05,000886,海南高速,86
522,2005-05,000916,华北高速,86
523,2005-05,000949,新乡化纤,86
524,2005-05,600007,中国国贸,86
525,2005-05,600068,葛洲坝,86
526,2005-05,600103,青山纸业,86
527,2005-05,600190,锦州港,86
528,2005-05,600608,上海科技,86
529,2005-05,600705,中航产融,86
530,2005-05,600707,彩虹股份,86
531,2005-05,600726,华电能源,86
532,2005-05,600744,华银电力,86
533,2005-05,600790,轻纺城,86
534,2005-05,600805,悦达投资,86
535,2005-05,600866,星湖科技,86
536,2005-05,600002,齐鲁石化,86
537,2005-05,000406,石油大明,86
538,2005-05,000866,扬子石化,86
539,2005-05,000956,中原油气,86
540,2005-05,000096,广聚能源,86
541,2005-05,000420,吉林化纤,86
542,2005-05,000498,山东路桥,86
543,2005-05,000612,焦作万方,86
544,2005-05,000763,锦州石化,86
545,2005-05,000817,辽河油田,86
546,2005-05,000823,超声电子,86
547,2005-05,000831,五矿稀土,86
548,2005-05,600074,保千里,86
549,2005-05,600135,乐凯胶片,86
550,2005-05,600630,龙头股份,86
551,2005-05,600638,新黄浦,86
552,2005-05,000029,深房集团,86
553,2005-05,000532,华金资本,86
554,2005-05,000562,宏源证券,86
555,2005-05,000921,海信家电,86
556,2005-05,600072,中船科技,86
557,2005-05,600228,返利科技,86
558,2005-05,600271,航天信息,86
559,2005-05,600489,中金黄金,86
560,2005-05,600641,万业企业,86
561,2005-05,600710,苏美达,86
562,2005-05,600748,上实发展,86
563,2005-05,600757,长江传媒,86
564,2005-05,600761,安徽合力,86
565,2005-05,600838,上海九百,86
566,2005-05,000001,平安银行,86
567,2005-05,000002,万科,86
568,2005-05,000063,中兴通讯,86
569,2005-05,000069,华侨城,86
570,2005-05,000157,中联重科,86
571,2005-05,000425,徐工机械,86
572,2005-05,000568,泸州老窖,86
573,2005-05,000625,长安汽车,86
574,2005-05,000651,格力电器,86
575,2005-05,000858,五粮液,86
576,2005-05,600000,浦发银行,86
577,2005-05,600009,上海机场,86
578,2005-05,600010,包钢股份,86
579,2005-05,600015,华夏银行,86
580,2005-05,600016,民生银行,86
581,2005-05,600019,宝钢股份,86
582,2005-05,600028,中国石化,86
583,2005-05,600029,南方航空,86
584,2005-05,600030,中信证券,86
585,2005-05,600031,三一重工,86
586,2005-05,600036,招商银行,86
587,2005-05,600050,中国联通,86
588,2005-05,600085,同仁堂,86
589,2005-05,600104,上汽集团,86
590,2005-05,600196,复星医药,86
591,2005-05,600309,万华化学,86
592,2005-05,600362,江西铜业,86
593,2005-05,600519,贵州茅台,86
594,2005-05,600585,海螺水泥,86
595,2005-05,600660,福耀玻璃,86
596,2005-05,600690,海尔智家,86
597,2005-05,600741,华域汽车,86
598,2005-05,600795,国电电力,86
599,2005-05,600900,长江电力,86
600,2005-06,600177,雅戈尔,87
601,2005-06,000709,河钢股份,87
602,2005-06,600170,上海建工,87
603,2005-06,600188,兖州煤业,87
604,2005-06,600221,海航控股,87
605,2005-06,600583,海油工程,87
606,2005-06,000630,铜陵有色,87
607,2005-06,600100,同方股份,87
608,2005-06,600153,建发股份,87
609,2005-06,000402,金融街,87
610,2005-06,000792,盐湖股份,87
611,2005-06,600739,辽宁成大,87
612,2005-06,000060,中金岭南,87
613,2005-06,600649,城投控股,87
614,2005-06,000009,中国宝安,87
615,2005-06,600256,广汇能源,87
616,2005-06,000039,中集集团,87
617,2005-06,000061,农产品,87
618,2005-06,000778,新兴铸管,87
619,2005-06,000800,一汽解放,87
620,2005-06,600839,四川长虹,87
621,2005-06,000729,燕京啤酒,87
622,2005-06,600600,青岛啤酒,87
623,2005-06,600642,申能股份,87
624,2005-06,000937,冀中能源,87
625,2005-06,000983,山西焦煤,87
626,2005-06,000024,招商地产,87
627,2005-06,000839,中信国安,87
628,2005-06,000878,云南铜业,87
629,2005-06,000960,锡业股份,87
630,2005-06,600108,亚盛集团,87
631,2005-06,600348,华阳股份,87
632,2005-06,000401,冀东水泥,87
633,2005-06,600058,五矿发展,87
634,2005-06,600832,明珠集团,87
635,2005-06,000012,南玻集团,87
636,2005-06,000758,中色股份,87
637,2005-06,600096,云天化,87
638,2005-06,600123,兰花科创,87
639,2005-06,600895,张江高科,87
640,2005-06,000528,柳工,87
641,2005-06,000933,神火煤电,87
642,2005-06,600266,北京城建,87
643,2005-06,600598,北大荒,87
644,2005-06,600694,大商股份,87
645,2005-06,600811,东方集团,87
646,2005-06,600997,开滦股份,87
647,2005-06,000807,云铝股份,87
648,2005-06,600005,武钢股份,87
649,2005-06,600508,上海能源,87
650,2005-06,600779,水井坊,87
651,2005-06,600881,亚泰集团,87
652,2005-06,000527,美的电器,87
653,2005-06,000825,太钢不锈,87
654,2005-06,000898,鞍钢股份,87
655,2005-06,600037,歌华有线,87
656,2005-06,000021,深科技,87
657,2005-06,000680,山推股份,87
658,2005-06,600183,生益科技,87
659,2005-06,600307,酒钢宏兴,87
660,2005-06,600320,振华重工,87
661,2005-06,600500,中化国际,87
662,2005-06,600812,华北制药,87
663,2005-06,000027,深圳能源,87
664,2005-06,600008,首创环保,87
665,2005-06,600026,中远海能,87
666,2005-06,600428,中远海特,87
667,2005-06,600635,大众公用,87
668,2005-06,600808,马钢股份,87
669,2005-06,600879,航天电子,87
670,2005-06,000031,大悦城,87
671,2005-06,000927,中国铁物,87
672,2005-06,600004,白云机场,87
673,2005-06,600220,江苏阳光,87
674,2005-06,600269,赣粤高速,87
675,2005-06,600675,中华企业,87
676,2005-06,600717,天津港,87
677,2005-06,600631,百联股份(合并前),87
678,2005-06,000900,现代投资,87
679,2005-06,600006,东风汽车,87
680,2005-06,600033,福建高速,87
681,2005-06,600087,南京油运,87
682,2005-06,600210,紫江企业,87
683,2005-06,600350,山东高速,87
684,2005-06,600597,光明乳业,87
685,2005-06,600601,方正科技,87
686,2005-06,600663,陆家嘴,87
687,2005-06,000089,深圳机场,87
688,2005-06,000488,晨鸣纸业,87
689,2005-06,000717,韶钢松山,87
690,2005-06,000932,华菱钢铁,87
691,2005-06,600011,华能国际,87
692,2005-06,600022,山东钢铁,87
693,2005-06,600102,莱钢股份,87
694,2005-06,600236,桂冠电力,87
695,2005-06,600282,南钢股份,87
696,2005-06,600569,安阳钢铁,87
697,2005-06,600643,爱建集团,87
698,2005-06,600688,上海石化,87
699,2005-06,600820,隧道股份,87
700,2005-06,600835,上海机电,87
701,2005-06,600886,国投电力,87
702,2005-06,000559,万向钱潮,87
703,2005-06,000822,山东海化,87
704,2005-06,000917,电广传媒,87
705,2005-06,600270,外运发展,87
706,2005-06,600639,浦东金桥,87
707,2005-06,600874,创业环保,87
708,2005-06,000629,攀钢钒钛,87
709,2005-06,000912,泸天化,87
710,2005-06,600110,诺德股份,87
711,2005-06,600117,西宁特钢,87
712,2005-06,600308,华泰股份,87
713,2005-06,600653,申华控股,87
714,2005-06,600770,综艺股份,87
715,2005-06,600001,邯郸钢铁,87
716,2005-06,600357,承德钒钛,87
717,2005-06,000088,盐田港,87
718,2005-06,000503,国新健康,87
719,2005-06,000539,粤电力,87
720,2005-06,000767,晋控电力,87
721,2005-06,600020,中原高速,87
722,2005-06,600021,上海电力,87
723,2005-06,600098,广州发展,87
724,2005-06,600591,上海航空,87
725,2005-06,600747,大连控股,87
726,2005-06,600780,通宝能源,87
727,2005-06,600863,内蒙华电,87
728,2005-06,600887,伊利股份,87
729,2005-06,000036,华联控股,87
